mz,rt,ccs,0641_Serum,0641_Serum,0641_Serum,0641_Serum,geh_Serum,geh_Serum,geh_Serum,geh_Serum,sal1_Serum,sal1_Serum,sal1_Serum,sal1_Serum,WT_Serum,WT_Serum,WT_Serum,WT_Serum
875.0819635,0.396533333,321.4978938,0,0,0,0,86.3338246,78.50608839,113.5891404,105.4167671,0,0,0,0,0,0,0,0
577.7609906,0.464166667,257.4985102,0,0,0,0,111.3485693,77.18209746,121.5014781,157.6300301,0,0,0,0,0,0,0,0
953.8316816,1.515533333,335.1760674,22455.83433,5400.579171,8038.697287,26597.69001,0,0,0,0,55635.27727,54644.16543,54771.27448,37669.60872,36532.75479,25451.21208,35097.7626,43902.02807
877.098118,0.51775,326.2188472,0,0.38207749,0.460196739,0,140.2006678,69.55032194,152.5103656,211.462681,0,0,0,0,0,0,0,0
874.7856908,1.326683333,315.5401582,0,0.838867188,0.079386383,0,345.463039,273.8773938,421.0217422,669.1287518,0.816039978,0,0,0,0,0.391970839,0.061965944,0.041801409
969.8057984,1.4479,337.4195794,1690.137785,254.7517779,400.2196114,1895.008905,0,0,0,0,4069.973858,5583.286727,5489.406762,3035.771163,3612.463456,2359.836949,2595.179102,3464.061621
909.7167393,0.309133333,323.6767309,263.8154732,340.5247731,325.2734889,281.6475398,2233.376892,2246.580711,2561.080305,1689.17486,215.0831627,262.6343637,234.5847201,209.7279092,228.2744942,189.4159447,202.4737239,216.9249405
977.8315384,1.326683333,344.3048447,863.1095351,148.0815241,248.0442134,1016.912862,0,0,0,0,1696.114182,1442.510217,1436.408364,933.4538198,1502.111744,979.7379279,1481.131263,1753.38054
967.7922295,1.084266667,338.5879564,530.0622485,95.71239092,126.8432792,549.2820269,0,0,0,0,1003.988898,1190.145936,1302.814136,720.7670297,1219.495193,930.1962242,887.399591,1081.856094
955.8470728,5.512383333,336.3282457,12220.27315,2590.816116,4075.818446,13712.32828,30.98487943,13.31538335,10.67932153,11.4262308,30324.5285,29597.61378,29599.60396,22027.89614,21128.46137,13735.72358,20113.76183,24771.308
927.8156313,1.515533333,332.9792183,3679.616365,916.7867154,1556.12338,5110.520338,0,0,0,3.488489171,13070.38231,9269.425345,13088.45187,8751.500933,8686.559208,6625.166921,9301.142536,10993.75145
799.6764543,0.309133333,300.2428406,68.78036185,93.95308598,111.5276789,61.9854609,490.9120628,464.5160001,469.5672255,543.5787982,34.43010124,41.49790003,36.53372134,43.89590731,30.43818083,42.16440236,37.6388652,38.72860803
929.8315243,5.478566667,332.9686406,19753.0236,4912.282374,6865.63777,22393.28858,9.422620053,1.284297992,2.212160917,0.375586458,46204.32028,44525.69842,44935.99614,34953.13246,32305.7766,21141.3665,31244.2738,39494.94582
825.6942712,0.309133333,304.9664848,254.7099872,428.1089124,474.0712746,243.2958425,1944.910489,1821.717855,1850.495347,2245.768742,120.0737533,124.7447152,130.5164294,142.333368,106.3283758,128.2275606,127.3029785,101.3610558
874.9182786,0.43035,322.6848463,5.97794752,16.9630829,31.46397161,7.456685959,134.9480317,128.7377508,121.8767567,134.7749489,0.522318993,0,0,0,0.126672361,0,0.106924676,0
991.8119539,4.150966667,317.3473707,13.27100995,7.193885445,8.271568429,16.92704028,0,0,0,0,29.48370675,24.79784421,28.73974238,15.23530822,21.22701403,21.16019997,16.00922023,11.33856633
762.9833984,4.150966667,231.8308007,63.83489393,19.9041041,24.23921468,69.81147606,0,0,0,0,81.54436495,90.02866665,74.4517218,50.83254523,32.79370645,36.17019118,49.05100146,43.84826771
577.5206729,0.309133333,258.8238009,5065.86752,7445.750979,8269.252231,5585.798561,25098.77254,22111.45268,26175.14971,29961.11014,4984.14028,4235.064996,4766.742249,4209.442146,4452.726198,4439.141746,4730.30994,4497.172415
619.4761116,0.362716667,253.1169535,226.94737,157.6786771,152.3625338,292.3451016,34.94075643,23.79168371,33.13806681,36.64952006,469.6572916,404.618277,547.2657382,544.6346352,456.2159471,481.7908245,439.8019563,490.0731014
585.4864156,0.362716667,242.6683421,1323.278516,567.4722117,541.7445996,1624.47713,38.16234522,24.53486905,37.14210333,41.34184238,2773.770242,2755.393168,2686.529204,2403.171946,2140.266511,1899.68987,2021.947488,2440.898216
947.7923327,0.672783333,338.6884254,672.331002,166.9227655,172.7847514,594.7597924,0.702048587,0,0,1.664973422,669.1806743,681.0683575,558.1221471,493.1314663,767.8524554,595.3463274,713.4568462,896.5264419
613.483809,0.275316667,258.4726447,62.50595105,85.44924351,109.7336316,70.38158728,484.4739192,524.0491578,605.7057281,449.3098884,83.18494072,89.93559248,88.59112506,66.56131402,40.84898632,50.91444034,53.09123743,45.12448204
848.7709365,0.396533333,313.291304,1145.353453,3838.445468,4532.202667,1259.49947,27582.0454,22752.29815,27083.35476,33521.10358,192.6075599,128.6473485,167.9688815,189.6803854,115.0759224,111.7885383,166.8579211,83.71982195
930.5611339,4.238366667,259.1561549,761.8924318,904.8955565,1042.497727,1055.260149,72.26680237,115.2260361,139.0631288,169.649703,1166.526062,1218.630546,1161.219388,855.8508927,68.5778328,44.00835212,70.5100294,62.5553608
856.745551,0.309133333,307.212617,670.7813313,1063.006592,1165.121855,723.4848617,6192.279427,5262.327566,6136.992687,7464.285302,716.9018693,721.8852551,750.0367501,910.9180707,534.3574903,546.9159979,549.1581642,639.8407556
870.7419265,0.309133333,315.5628897,241.7604018,535.6833435,563.6332309,278.7435014,2143.706167,2068.119233,2267.750609,2203.579695,124.7578421,92.2752676,137.6554928,94.92776713,77.75063931,92.39132909,89.42667457,68.86825314
971.8369498,0.672783333,340.8798153,1111.253665,336.0849367,383.0704067,1789.828912,7.672948799,5.616574362,4.218829608,12.65038467,3998.771068,2619.655084,4509.748682,2976.185665,2953.527333,3074.268179,3111.853212,3515.952377
641.5860336,0.619183333,269.9726787,36.22358365,18.50784323,11.90996398,45.76405676,0,0,0,0,66.9808119,65.11165588,34.67796532,57.06588796,45.7128738,39.64905474,46.56881678,51.95932395
851.7089973,0.309133333,310.8671838,1283.758219,1985.967741,2175.937223,1239.263029,7208.577917,6697.123678,7490.63304,7273.530461,783.2864136,860.6775116,715.1153957,898.8784933,836.4994852,685.1247299,807.9806534,695.7074762
533.4543973,0.362716667,239.1070973,82.78868364,49.6396225,56.87644216,108.9673418,4.796634346,8.333824148,6.968299911,7.055934461,180.3477952,162.4497866,194.1076583,164.9483494,140.4006952,117.7835328,126.2880228,167.4200577
846.7540082,0.309133333,312.1007082,273.9992158,597.7760512,698.4878534,289.5024232,3512.501297,3132.585357,3585.455213,3893.267828,177.680055,165.721248,154.8649035,174.1325187,93.88275266,94.80213926,122.2123873,116.0407421
853.7267843,0.309133333,307.2298118,2014.047392,4719.883554,5558.130541,2165.420581,21953.47207,20257.95466,22095.71042,23132.19081,619.8003189,399.6662481,601.4267742,667.4741572,473.2384842,485.9773166,588.8666287,391.3684824
976.9050087,0.861616667,338.5435334,57.69951885,13.22388737,16.16120452,65.02088624,0,0,0,0,172.5025397,170.0602388,174.519595,111.2642001,83.68618606,98.38860754,73.87777071,115.0823768
561.5195772,0.309133333,255.0142116,718.0213412,421.9513486,463.3862303,733.7012,68.60782384,41.7166344,40.069223,75.55154361,1208.804785,1183.882462,904.2659955,1212.196527,764.5468384,770.4223154,778.3057882,928.6613242
941.7790418,1.084266667,334.0729577,436.4151037,55.23507283,65.04786533,372.1129589,0,0,0,0,784.8191328,1051.291138,1039.557437,538.8101552,924.453495,549.7671806,569.5640681,781.7263174
611.5318646,0.396533333,261.1239778,76.4922893,53.98195941,47.24693165,81.55019678,9.423466497,8.263485363,5.284677955,9.599200396,131.8781898,117.2441751,106.9471313,113.0058552,93.81203327,90.12173001,113.5216569,104.2835918
915.7049494,0.275316667,321.2766378,86.08364943,166.4296754,184.0651036,103.4827399,770.4915115,755.9173897,819.2317258,770.9833785,73.54599845,73.25251194,60.6653345,66.77941406,67.92573582,57.08379384,62.2283556,57.17037734
893.7200495,0.309133333,320.206334,943.4465138,1985.074122,2362.217762,1104.606618,9997.889443,10239.39927,10620.71016,9120.533795,461.665143,323.25162,480.264495,493.2173872,346.4269272,385.8272393,411.6321289,303.116808
889.6910375,0.309133333,315.4581405,50.44370658,85.02959094,84.16174568,60.96051348,475.7439159,448.1198355,506.5415264,453.4594697,61.21303515,46.8812936,64.11664376,36.29685883,56.71384626,43.15623047,38.31574563,42.8397237
597.4508385,0.362716667,246.6171394,175.2968996,147.6607826,120.7410622,211.8967985,24.51116541,25.34045444,27.01980627,40.35615735,340.313815,362.3020281,290.0369403,281.7353756,255.7330563,250.4920965,291.2700638,293.7956151
877.7282147,0.309133333,317.9133105,1954.896685,4289.8384,4859.892217,2087.757066,13073.68305,12672.84985,12806.55816,14039.4026,543.4446754,367.207819,505.4316745,558.4641732,410.6972107,403.7268985,502.2842344,283.8241533
872.7698908,0.309133333,320.3231004,1333.997288,2987.093113,3528.006613,1487.396548,14560.86261,13459.19196,15162.55372,15475.17592,833.660024,739.9064334,718.4463891,738.6147147,463.6306643,441.3400652,521.6702303,570.4236085
874.7841536,5.202333333,315.5401668,49.25794751,62.28959744,70.58128523,51.73886595,253.3955647,244.2329683,264.4812577,397.4852535,45.45818546,51.57496938,51.09845065,47.37720823,48.19104481,48.8417103,62.19575863,42.42987742
583.4699729,0.362716667,241.3268308,393.3984937,180.1459393,190.1390098,505.6689952,19.01845194,9.689387637,7.566738971,17.01037536,867.8596855,713.6516888,917.194573,716.5034423,702.0617301,714.7571716,714.395127,784.0889959
935.7273956,0.275316667,325.9024246,157.8626538,193.1289179,194.4113113,151.7186604,1329.032269,1361.772687,1562.27742,858.3827561,142.7524609,125.6086801,156.3674442,172.8734321,122.4567411,112.6842016,129.0840552,111.3023864
895.731726,0.309133333,322.5685267,1726.613608,3919.971906,4609.388635,1963.286783,17688.86275,16810.32943,18731.83207,16765.78428,625.1292307,401.3274043,605.6154323,691.0242721,419.4367527,455.4903023,427.6534361,256.6752754
1000.57208,4.494833333,261.4903105,113.7742272,114.0776447,116.8320874,105.308424,581.3717355,493.5650074,488.6743516,419.2362277,230.1804015,166.1027218,184.7335707,157.4837904,433.0376621,507.8714148,537.5927139,534.2390024
575.5053025,0.309133333,254.8669455,1192.265035,2316.038979,2799.551296,1261.195491,11180.87078,10822.45547,12370.74053,12027.56907,901.4912557,743.1485979,833.1211909,815.4989743,701.8324202,747.3050305,851.888451,661.3514601
891.7068573,0.309133333,316.6427441,262.779867,557.9881599,646.2785862,306.5849594,3039.188595,3073.083874,3202.710011,2914.859943,124.0825931,97.43751503,192.2331483,138.3906177,141.7440719,133.4189989,125.0727995,111.9984325
691.5999843,0.309133333,287.3763277,2965.614869,796.8241423,730.8023659,2869.634891,14.5400544,18.8940302,27.40719061,9.871679083,4532.097216,4878.636972,4942.394171,4389.056234,3824.07566,3414.653178,3405.888853,4751.176734
917.7203182,0.309133333,327.1728946,314.6715142,727.7701368,804.0754548,331.0997748,2923.488617,3030.074785,3099.136335,2659.583147,147.8413597,156.1642874,162.4956349,157.5320727,84.12991488,98.33770724,108.2309327,64.67653804
827.7103237,0.309133333,306.1697917,485.1386741,786.632777,947.1708616,462.2251979,3977.76465,3530.94392,3802.814356,4814.558316,354.8863481,345.6132474,299.3012237,453.2372164,277.5765263,274.7446327,293.8073199,304.209222
907.7014782,0.275316667,318.9421463,116.0835555,200.6058906,129.8682719,150.8431283,1090.098559,1137.115681,1396.808751,923.8435998,80.46742684,84.92151005,109.6017261,77.67438393,110.1798071,117.1643373,68.73632065,69.35180456
559.4717817,0.362716667,241.5638009,452.8638731,287.2469869,293.9451031,617.1354061,52.76232588,34.52300543,23.42298251,52.32822342,998.7697949,793.6919112,1007.182762,935.5541229,750.3225719,772.2666844,806.2528494,870.1989364
879.7427355,0.309133333,320.2836243,5799.418465,13731.52661,14971.80782,6278.920435,44862.48646,38400.75838,43522.54743,53265.92931,1970.97992,1174.304126,1788.968226,2011.598322,1312.420027,1466.712545,1645.221915,1041.782162
878.8154137,0.619183333,322.6626505,998.151113,3924.764956,4537.701092,1056.654057,29214.22775,20846.7168,26993.40953,42171.50636,180.6955335,99.80307023,197.2455852,233.4978284,87.6837534,109.4171805,124.1650212,72.51892804
875.7102247,0.309133333,310.7315144,394.3921927,917.5335394,825.5835787,414.8923564,3116.397382,2962.34195,3196.314658,2651.76027,127.1085105,87.69034346,142.8259987,138.2760631,97.61865771,99.2516674,135.8485528,63.86562153
573.4887714,0.309133333,250.8819796,211.3348415,343.0614814,412.2889591,241.794491,2054.868126,2382.697613,2600.471956,1725.486806,280.8003416,211.4331729,295.9195986,229.5706387,172.5735589,194.3093522,200.6930868,211.0797574
913.7623162,0.309133333,327.1938802,2529.895289,1333.369373,1078.016517,2293.479154,167.3822495,115.5512487,132.3672548,213.4352814,3480.677307,3700.249134,2633.79059,3199.983119,2655.353981,2536.466429,2347.642154,2877.242348
574.3175533,4.150966667,244.1338384,44.39648128,15.09586459,16.07909903,51.29061849,0,0.030244216,0,0,67.93991797,52.71947181,63.77755737,20.7722277,51.03024927,41.26697487,41.09678237,48.81739192
899.7111682,0.309133333,316.599845,134.0893174,235.365347,301.1197484,141.3089419,849.6368519,832.0223161,838.4886659,775.3326331,86.58225568,66.30581752,94.08771919,57.84659136,54.82790118,60.01869573,55.1438203,36.50520408
931.0569424,4.238366667,259.1541386,528.1884264,599.414607,670.2889094,645.942907,32.54132863,87.54939656,71.68929722,111.5525006,845.7653004,885.4473567,831.1928724,583.9927966,39.72218839,24.87325892,30.83884116,23.5634357
898.7792418,0.309133333,330.7975837,1077.667044,2915.011218,3223.97123,1107.666468,11045.59828,9284.098698,10938.66741,12805.58378,514.1758135,372.3709969,413.8976147,506.165579,212.6335663,242.7363746,268.5473776,158.6944217
919.7347645,0.309133333,328.337931,636.8041292,1468.76165,1648.600625,677.3802078,5346.190112,5464.110188,5570.030639,4864.482743,384.3047019,281.5585129,320.4585031,397.0857966,191.7250377,205.2177561,196.916717,138.5240573
480.3437565,3.685883333,227.2362041,24.83679094,10.41109467,12.4402132,32.95756483,0.188839255,0.807647591,0.135550188,1.072083038,51.310121,46.91861559,47.87405415,34.72508638,43.24551709,31.20593406,38.52148673,36.08846173
822.7523197,0.396533333,306.1999863,140.2093437,356.8609418,416.0206684,175.9704125,2465.63867,2001.848143,2496.115366,3307.214964,143.3602345,114.8904864,101.3994122,130.3051165,95.90925558,82.80012721,97.58921101,85.7490139
292.9096464,2.411866667,163.4771755,4.257173528,4.376029681,4.365146154,5.483721062,52.38267035,46.09198767,44.05672045,24.63678354,10.87801343,11.10320412,8.434530717,6.633520109,162.3325613,127.1437778,102.8932563,76.32037862
902.8171419,0.51775,330.7752256,2682.679945,9000.007275,10440.85573,2910.004232,47110.03966,35832.95768,44274.14675,63184.12438,754.5439038,465.0537143,631.0549709,864.5332325,341.0044049,420.4945985,451.5127227,208.2962087
900.8007371,0.43035,326.0860015,1358.283005,3824.628967,4527.759996,1418.376085,15136.71569,12579.07992,14985.43319,17616.1936,544.1689111,342.3578527,421.9973825,603.6994065,213.6340988,247.0365892,250.5317255,138.9600003
577.6396328,0.309133333,257.499761,4.039795024,7.742624827,9.040810649,3.53486245,50.63140123,35.58740696,59.35825034,62.99171298,1.987814013,3.905692562,2.033501466,3.061187531,1.263017496,1.160438484,1.29683738,1.436473611
876.8016667,1.292883333,317.9185051,0,0,6.001983523,0,402.4040721,268.5155986,430.9375256,816.7712819,0,0,0,0,0,0,0,0
1007.799041,0.309133333,349.8833331,249.3164078,87.19911767,66.49804948,244.0208709,1.023278749,3.254525929,1.986525232,3.731442498,230.8826189,207.268061,203.352316,225.0634728,359.2495684,346.7064146,326.8150279,373.5862672
886.5378875,4.238366667,258.0378845,38.35709423,37.77954356,31.10741814,21.05896561,1268.628784,1204.380455,946.8842091,720.477128,142.9698721,99.31837581,61.93243418,37.22548915,1723.60938,1513.012139,1250.603104,1043.393651
577.4801647,0.362716667,244.1027488,2296.267247,3368.947897,3260.625966,3024.674658,9262.359111,10130.67012,12273.00224,12148.59827,3198.353074,2313.96834,2943.204768,2152.136722,2668.177324,2572.26651,2786.853661,2897.498986
874.7869279,0.43035,320.3116169,6045.888582,18045.55906,20684.23469,6448.166084,101926.8117,88185.70697,105290.8477,116367.1055,949.827935,333.2809792,835.1900318,957.2497298,577.8735635,689.2201372,840.665171,236.3314447
973.826721,0.7404,340.8700592,7718.395733,2481.290608,2615.404339,7853.894448,239.4582433,186.040104,206.9431121,319.357256,9908.259012,10427.89016,9922.924125,7560.016506,10207.68183,8487.619589,9206.376226,11865.84798
901.7318572,0.309133333,322.5359835,931.1420581,1785.630326,2039.209772,1030.096424,3703.135984,3500.970279,3780.602219,4071.644718,587.9414252,583.0289765,529.2403719,639.1090327,377.9239912,376.9733854,396.2482103,331.3380882
597.4881719,0.275316667,253.3183521,117.7441106,201.8247368,238.0080781,132.0472859,1253.385239,1539.899457,1661.683374,934.6056764,146.6150483,109.6151123,143.6530967,115.270645,87.05186979,72.33776211,104.7627248,86.0811418
649.5114681,0.396533333,262.0999819,66.14253797,54.84751642,42.6284293,67.8902036,9.104998894,2.614701871,6.442826066,4.585176135,112.0398146,129.4870211,97.23809355,110.8378146,80.05844974,88.1405834,82.94805841,80.87712942
961.7467925,0.309133333,338.617888,124.8074889,143.6262816,148.8064686,141.3698427,659.9157089,643.8235743,718.1854261,426.4502826,159.927014,176.8693057,157.9735875,149.002178,142.7782811,158.7339425,136.3429638,146.9635025
886.050487,4.02975,258.0400581,78.40134582,66.23729252,55.35330094,37.10467034,2969.920771,3266.219543,2574.702919,1891.717463,336.9651932,220.206888,130.8850083,95.32761109,1251.385388,1181.101551,1139.892192,1683.450752
933.7142959,0.275316667,322.3695241,36.99032611,90.44531321,106.1558732,54.88224182,1186.898834,1214.801747,1349.705134,809.6590415,22.88484838,34.06900352,28.15152609,30.73825715,20.7728478,22.69056752,29.72380153,8.5737164
868.4933028,4.548416667,256.8104043,32.37503055,30.56172839,18.71616155,14.35772705,738.5965536,467.2111741,338.2662537,215.6935959,88.14828897,48.43524719,57.33095893,57.86452475,3487.634807,3064.762756,2197.207853,1341.423912
672.6237125,0.309133333,276.1351654,3853.011415,2232.763062,2303.263746,4094.998732,797.8958378,720.4013948,826.6757474,910.6635143,4835.37496,5076.984679,5081.33677,4965.201996,4615.377566,4240.646536,4327.454695,4611.110849
877.7447177,0.396533333,313.1260729,409.5652294,1186.65742,1157.559619,473.5058142,3882.557712,3541.700006,5102.853857,5206.646148,82.66799036,33.07479703,47.85545895,84.25374859,41.22961903,47.52429548,55.53098518,15.10676672
921.7489603,0.309133333,330.672992,1079.577489,2507.083681,2841.443728,1184.86113,7754.982616,7295.656765,7840.744417,7847.856999,726.8371641,646.6030028,610.2414417,873.1816622,332.4429981,406.7056059,381.7968638,258.7588419
994.5529131,4.306,240.3790373,31.4603218,18.21078008,34.04717078,19.70083918,278.7172276,231.0364551,242.4001128,187.8949121,102.1473941,74.4292009,59.842612,41.88416648,469.7032825,406.9975198,349.3681645,348.7245873
969.8238376,0.43035,343.1945672,1135.206911,311.807902,345.9051581,1307.028301,37.36646319,13.69741397,13.30228628,31.90543832,2893.841795,2469.456935,2840.833917,2161.318252,2051.45526,1921.36673,2026.521035,2433.063565
671.5774972,0.7404,281.2352822,2493.058669,908.7286055,838.6382007,2354.727508,21.23611646,13.81025284,11.76446799,58.69728154,1717.261363,1692.9106,1378.187771,1236.059771,3104.469331,2317.954298,2807.866892,3575.28648
882.7612977,0.309133333,322.6403751,1474.210738,3102.846383,3318.352302,1583.030278,12160.3676,9311.491884,10960.44734,16264.2681,1243.545372,1074.696892,1090.654093,1366.74486,808.5376173,884.7026546,887.84347,936.2440086
872.674673,0.396533333,311.9522569,39.32615059,86.4832139,102.9425916,50.88327021,254.7482139,222.5977739,266.9652644,282.8772721,28.33825301,27.54078412,27.71702264,27.26113219,22.64134448,17.23062327,25.32246087,21.7689341
820.7340142,0.309133333,304.9967197,118.5409621,143.5004435,203.0799788,102.6908333,1083.824906,918.8100642,983.3852652,1123.177615,156.8716602,119.6775013,69.84273618,138.4415863,61.12256619,86.64060053,64.16413831,77.74183319
